Hours_Studied,Exam_Score
7.49,57.75
19.01,89.0
14.64,76.5
11.97,64.0
3.12,53.5
3.12,51.5
1.16,46.75
17.32,78.75
12.02,77.0
14.16,68.5
0.41,44.0
19.4,99.5
16.65,76.75
4.25,47.75
3.64,49.5
3.67,46.75
6.08,47.5
10.5,66.5
8.64,56.25
5.82,57.0
12.24,66.0
2.79,54.75
5.84,50.75
7.33,56.75
9.12,66.75
15.7,73.0
3.99,51.0
10.28,72.25
11.85,61.5
0.93,43.25
12.15,71.75
3.41,52.5
1.3,37.0
18.98,80.75
19.31,91.0
16.17,82.0
6.09,56.5
1.95,46.5
13.68,70.75
8.8,63.25
2.44,47.5
9.9,61.25
0.69,51.0
18.19,87.75
5.18,47.0
13.25,76.5
6.23,50.75
10.4,70.0
10.93,73.0
3.7,45.25
19.39,93.25
15.5,80.75
18.79,91.0
17.9,94.25
11.96,68.75
18.44,82.25
1.77,40.0
3.92,45.75
0.9,41.75
6.51,58.0
7.77,60.75
5.43,57.75
16.57,81.5
7.14,65.0
5.62,52.75
10.85,80.75
2.82,50.25
16.04,75.75
1.49,38.25
19.74,91.75
15.44,77.5
3.97,53.5
0.11,42.75
16.31,80.5
14.14,71.0
14.58,69.0
15.43,76.25
1.48,48.0
7.17,59.0
2.32,39.5
17.26,84.0
12.47,73.0
6.62,52.25
1.27,44.0
6.22,55.75
6.5,50.5
14.59,78.25
12.75,74.75
17.74,89.75
9.44,68.75
2.39,39.0
14.26,71.0
15.22,80.75
11.23,70.75
15.42,81.25
9.88,84.0
10.45,69.0
8.55,67.0
0.51,46.0
2.16,48.75
0.63,40.0
12.73,75.5
6.29,51.75
10.17,64.25
18.15,83.0
4.99,53.0
8.21,72.0
15.11,68.5
4.58,55.0
1.54,35.75
5.8,52.25
3.22,53.5
18.59,86.75
16.16,75.0
12.67,68.0
17.43,87.0
16.07,76.5
3.73,50.5
17.85,84.75
10.79,63.75
16.15,91.0
17.92,88.0
6.36,45.75
2.2,46.5
4.56,48.0
8.54,65.5
16.36,77.0
17.21,82.5
0.14,42.75
10.21,69.75
8.35,54.75
4.44,49.5
2.4,43.75
6.75,53.5
18.86,96.0
6.46,58.25
10.38,59.75
14.06,79.75
7.27,68.75
19.44,93.75
19.25,80.5
5.04,50.25
9.94,71.25
6.02,51.5
5.7,56.5
0.74,45.75
12.19,65.75
10.05,64.75
1.03,26.25
5.57,48.75
