id,recorded_day,air_pressure,max_temp,temperature,min_temp,dew_point,humidity,cloud_cover,wind_speed,raining
0,1,1017.4,21.2,20.6,19.9,19.4,87,88,17.2,yes
1,2,1019.5,16.2,16.9,15.8,15.4,95,91,21.9,yes
2,3,1024.1,19.4,16.1,14.6,9.3,75,47,18.1,yes
3,4,1013.4,18.1,17.8,16.9,16.8,95,95,35.6,yes
4,5,1021.8,21.3,18.4,15.2,9.6,52,45,24.8,no
5,6,1022.7,20.6,18.6,16.5,12.5,79,81,15.7,yes
6,7,1022.8,19.5,18.4,15.3,11.3,56,46,28.4,no
7,8,1019.7,15.8,13.6,12.7,11.8,96,100,52.8,yes
8,9,1017.4,17.6,16.5,15.6,12.5,86,100,37.5,yes
9,10,1025.4,16.5,14.4,12,8.6,77,84,38.3,no
10,11,1016.8,16.3,15.3,14.1,14,97,100,24.4,yes
11,12,1012.5,16.2,15.2,14,12.4,98,100,23.5,yes
12,13,1020.4,15,15.5,13.2,12,77,86,32.4,yes
13,14,1012.5,13.5,12.9,11.6,11.8,87,92,37,yes
14,15,1018.4,17.8,16.5,15.1,12.1,77,85,20.9,yes
15,16,1024.3,15.3,12.9,10,11.2,79,91,20,yes
16,17,1022.5,16.3,13.1,11.4,2,79,70,30.3,yes
17,18,1034.6,17.5,16.2,14.1,11.8,68,60,13.4,no
18,19,1024.1,16.8,15.8,14,12.9,76,77,20.5,yes
19,20,1020.2,16.4,14.2,12.7,11.6,75,93,21.9,yes
20,21,1022.4,17.7,16.4,14.8,11.3,92,88,41.3,yes
21,22,1022.6,21.9,17.8,15.8,14.3,52,49,10.2,no
22,23,1020.6,18.5,17.3,16.9,16.8,95,95,39.5,yes
23,24,1013,24.8,19.9,17.1,18.1,90,92,30.4,yes
24,25,1012.5,23.8,22.2,20.4,20.8,84,88,30.2,yes
25,26,1019.5,25.3,22.3,21,20.6,76,78,10.2,yes
26,27,1013.4,23.8,21.1,19.8,19.6,92,95,15.9,yes
27,28,1017,21.7,20.3,19.4,17.9,80,80,14.5,yes
28,29,1019.9,22.9,20.9,19.2,17.3,86,79,21.4,yes
29,30,,23.1,20.8,19.2,15.5,,,14.3,no
30,31,1018.5,21.3,20.3,19.3,15.3,75,69,35.1,yes
31,32,1019.5,23.2,22.1,20.1,18.8,82,69,20.5,no
32,33,1020.4,21.3,18.8,17.3,13.6,52,56,21.3,no
33,34,1024.4,21.6,19.3,17.4,15.3,90,95,35.3,yes
34,35,1017,21.5,20.6,18.6,17,91,88,14.3,yes
35,36,1023.1,18.2,17.1,16.3,9.5,78,89,28.4,no
36,37,1014.4,22.9,21.4,20,17.8,79,88,18.4,yes
37,38,1021.8,21.1,18.2,17.8,16.9,74,44,26.7,no
38,39,1023.1,20.4,17.8,14.8,15,75,43,11.9,no
39,40,1018.9,21.9,19.3,17.2,16.9,79,90,28.8,yes
40,41,1017.1,23.4,21.7,19.6,19,88,83,29.6,yes
41,42,1015.8,21.2,19.4,17.3,17,75,46,19,no
42,43,1013.1,21.4,20.9,19.4,17.8,83,88,20.8,yes
43,44,1015.2,18.9,17.7,16.9,16.8,90,90,34.2,yes
44,45,1017.4,16.1,15.5,13.6,11.4,72,43,27.3,yes
45,46,1016.9,17.5,15.5,14.8,14.6,91,91,33.4,yes
46,47,1018.1,20.6,16.1,14.2,12.2,79,89,10.7,yes
47,48,1016.5,21.6,19.2,17.5,19,95,92,6.9,yes
48,49,1016.8,21.3,19.5,17.6,17.6,75,70,16.5,no
49,50,1023.6,18.8,16,14.8,12.4,72,40,9.8,yes
50,51,1024.4,17.2,15.6,12.8,8.6,79,49,35.3,no
51,52,1016.3,22.3,19.2,18.2,18.5,,,9.9,yes
52,53,1019.6,18.4,17.1,16,16.3,93,93,19,yes
53,54,1018.8,22.5,20.1,19.1,16.4,76,71,20.5,no
54,55,1016.5,20.6,18.1,17,16.3,76,88,39.5,yes
55,56,1016.8,21.3,19.7,18.2,18.9,95,91,10.2,yes
56,57,1012,20.9,20.9,19.1,14.9,,,13.8,no
57,58,1020.4,25.9,21.6,19.8,17,79,70,24.4,yes
58,59,1014.4,25.3,21.9,19.1,19.6,86,82,27.3,yes
59,60,1013.3,22.4,20.5,20.3,17.8,91,80,25,yes
60,61,1018.1,21.3,20.3,19.9,18.9,92,88,28.4,yes
61,62,1020.4,18.2,15.9,13.5,9.9,84,83,17.2,yes
62,63,1017.7,20.6,18.1,16.9,17.4,95,91,16.1,yes
63,64,1017.9,21.3,19.5,18.4,15.5,76,72,25.1,no
64,65,1019.4,21.6,19.6,17,17.9,69,54,29.6,no
65,66,1022.7,14.3,12.8,10,8,63,95,24.5,yes
66,67,1020.3,18.4,15.7,14.6,12.6,59,88,27.4,yes
67,68,1014.2,18.4,18,17.2,17.4,,,22.9,yes
68,69,1015,17.8,16,16.9,16.6,90,51,24.9,no
69,70,1014.6,25.1,20,19,19.5,72,47,28.8,no
70,71,,20.9,18.4,16.9,8.9,,,7.4,no
71,72,1015.6,25.2,21.8,19.1,19.9,83,80,16.5,no
72,73,1018.5,23,21.1,20.6,19.6,89,88,8.9,yes
73,74,,26.3,23.3,19.2,18.8,,,24.8,yes
74,75,1012,23.1,21.6,20.4,19.9,90,87,26,yes
75,76,1012.5,26.1,23.2,21.5,20.1,87,88,28,yes
76,77,1014,25.2,23.3,22.3,21.1,89,88,20,yes
77,78,1014,24.9,23.1,22.4,22.8,85,88,31.2,yes
78,79,1013.5,26.9,25.3,24.2,21.9,87,85,26.1,yes
79,80,1011.4,27.6,20.9,19,13.7,77,91,15.4,yes
80,81,1016.8,26.5,24.8,23.3,22.1,83,81,24.4,yes
81,82,1019.8,27.6,25.4,24,22.3,89,84,18.6,yes
82,83,1011,26.3,24.9,23,22,81,88,24.4,yes
83,84,1010.7,24.2,23,21.4,17,86,80,9.8,yes
84,85,1008.1,28.1,25.1,23.8,22.8,86,83,17.2,yes
85,86,1013,27.2,24.8,23.4,22.3,90,85,17.2,yes
86,87,1013,27.8,25.8,23.7,20.6,74,88,16,yes
87,88,1012.2,27.1,25.9,24.2,22.6,86,84,17.5,yes
88,89,1016.8,25.1,23.1,22.9,22,87,82,32.5,yes
